Delete,Arabic,English
لا 3103772,لا ,No
من 2965717,من ,From
في 2420145,في ,in a
أن 2319199,أن ,that
هذا 2166337,هذا ,This
على 1613642,على ,On
ما 1479477,ما ,What
أنا 1362347,أنا ,I
هل 1283925,هل ,Do you
و 1182541,و ,And
يا 1145033,يا ,Hey
ذلك 1138151,ذلك ,that
لقد 1110999,لقد ,lhave
لم 963831,لم ,did not
ماذا 905328,ماذا ,what
كان 835179,كان ,It was
هنا 831436,هنا ,over here
إلى 785580,إلى ,to me
أنت 784910,أنت ,You are
هو 714976,هو ,He
هذه 676655,هذه ,this is
عن 661118,عن ,on
نعم 621456,نعم ,Yes
ان 597153,ان ,that
هناك 572525,هناك ,over there
كل 567648,كل ,all
حسناً 555003,حسناً ,Okay
ليس 534750,ليس ,not
كنت 528468,كنت ,I was
فقط 502032,فقط ,Just
شيء 492077,شيء ,Thing
الآن 481857,الآن ,right Now
مع 478525,مع ,With
الذي 476472,الذي ,Which
لكن 453064,لكن ,But
أجل 441357,أجل ,okay
لك 404720,لك ,is yours
يجب 399595,يجب ,Must
لن 398877,لن ,will not
كيف 379721,كيف ,How do
حسنا 353902,حسنا ,Okay
انا 346676,انا ,I am
لي 332448,لي ,for me
إنه 331797,إنه ,it's a
سوف 330878,سوف ,will
نحن 329643,نحن ,we
إذا 317037,إذا ,if
كانت 314945,كانت ,she was
عندما 310656,عندما ,When
أي 306202,أي ,Which
قد 302480,قد ,may be
لماذا 300695,لماذا ,Why
هي 299080,هي ,she
الأمر 298500,الأمر ,It
أنه 297966,أنه ,it's a
فى 295161,فى ,in
حتى 286812,حتى ,Even
بعد 282861,بعد ,distance
كذلك 271959,كذلك ,like that
أو 259028,أو ,or
ولكن 254867,ولكن ,But
قبل 252658,قبل ,Before
التي 248033,التي ,Which
انه 245723,انه ,it's a
إنها 244075,إنها ,It
لو 239202,لو ,if
ربما 238034,ربما ,maybe
أين 236483,أين ,where
هيا 234926,هيا ,Come on
تلك 231915,تلك ,That
أعرف 231425,أعرف ,I know
الى 226241,الى ,to me
إن 222875,إن ,that
يكون 221823,يكون ,He is
بعض 219199,بعض ,Some
أريد 215675,أريد ,I want
أعتقد 209271,أعتقد ,Think
انت 202328,انت ,You are
عليك 201640,عليك ,upon you
مثل 197432,مثل ,like
صحيح 195875,صحيح ,True
به 193490,به ,with it
أنك 189944,أنك ,You
الوقت 187206,الوقت ,the time
بخير 185367,بخير ,fine
أعلم 180540,أعلم ,Know
أحد 178626,أحد ,One
شخص 178534,شخص ,Person
جداً 177176,جداً ,very
رجل 173444,رجل ,a leg
شكراً 173106,شكراً ,Thanks
لذا 172327,لذا ,So
يمكن 170288,يمكن ,May be
كما 170253,كما ,as such
كلا 169755,كلا ,Both
أكثر 169724,أكثر ,more
يبدو 166061,يبدو ,sound
جيد 165331,جيد ,good
تكون 164298,تكون ,Be
علي 162651,علي ,on me
اليوم 160616,اليوم ,Today
يمكنك 156620,يمكنك ,you may
انها 155958,انها ,It
أليس 155532,أليس ,Alice
مرحباً 155166,مرحباً ,Welcome
لدي 151462,لدي ,I have
عليه 149039,عليه ,on him
آخر 148506,آخر ,else
